richtung,tagestyp,fahrt_nr,reihenfolge,haltestelle,uhrzeit
Puderbach -> Neuwied,Mo-Fr,13,10,Rüscheid Siegel,17.13
Puderbach -> Neuwied,Mo-Fr,13,11,Anhausen Petershof A,17.15
Puderbach -> Neuwied,Mo-Fr,13,12,Schillerstraße A an,17.18
Puderbach -> Neuwied,Mo-Fr,13,13,Schillerstraße A ab,17.19
Puderbach -> Neuwied,Mo-Fr,13,14,Braunsberg/Rheinhöhenweg,17.21
Puderbach -> Neuwied,Mo-Fr,13,15,Gladbach Haus am Pilz,17.23
Puderbach -> Neuwied,Mo-Fr,13,16,Chausseehaus,17.26
Puderbach -> Neuwied,Mo-Fr,13,17,Torney Dierdorfer Straße,17.29
Puderbach -> Neuwied,Mo-Fr,13,18,Friedhof Wennenberg,17.30
Puderbach -> Neuwied,Mo-Fr,13,19,Neuwied Beverwijker Ring,17.32
Puderbach -> Neuwied,Mo-Fr,13,20,Ludwig-Erhard-Schule,17.35
Puderbach -> Neuwied,Mo-Fr,13,21,Matthiasberg,17.36
Puderbach -> Neuwied,Mo-Fr,13,22,Stadion A,17.38
Puderbach -> Neuwied,Mo-Fr,13,23,Im Weidchen A,17.39
Puderbach -> Neuwied,Mo-Fr,13,24,Schloßtheater A,17.40
Puderbach -> Neuwied,Mo-Fr,13,25,Marktkirche A,17.42
Puderbach -> Neuwied,Mo-Fr,13,26,Marktstraße B,17.43
Puderbach -> Neuwied,Mo-Fr,13,27,Moltkeplatz A,17.45
Puderbach -> Neuwied,Mo-Fr,13,28,Bahnhof H,17.51
Puderbach -> Neuwied,Mo-Fr,14,1,Puderbach Verbandsgemeinde,17.49
Puderbach -> Neuwied,Mo-Fr,14,2,Hölzchens Mühle,17.50
Puderbach -> Neuwied,Mo-Fr,14,3,Hanroth Hedwigsthal A,17.51
Puderbach -> Neuwied,Mo-Fr,14,4,Raubach In der Au,17.55
Puderbach -> Neuwied,Mo-Fr,14,5,Wienau Flemmer,17.58
Puderbach -> Neuwied,Mo-Fr,14,6,Dierdorf Markt an,18.02
Puderbach -> Neuwied,Mo-Fr,14,7,Dierdorf Markt ab,18.03
Puderbach -> Neuwied,Mo-Fr,14,8,Neuwieder Straße B,18.04
Puderbach -> Neuwied,Mo-Fr,14,9,SZ-Center B,18.06
Puderbach -> Neuwied,Mo-Fr,14,10,Rüscheid Siegel,18.13
Puderbach -> Neuwied,Mo-Fr,14,11,Anhausen Petershof A,18.15
Puderbach -> Neuwied,Mo-Fr,14,12,Schillerstraße A an,18.18
Puderbach -> Neuwied,Mo-Fr,14,13,Schillerstraße A ab,18.19
Puderbach -> Neuwied,Mo-Fr,14,14,Braunsberg/Rheinhöhenweg,18.21
Puderbach -> Neuwied,Mo-Fr,14,15,Gladbach Haus am Pilz,18.23
Puderbach -> Neuwied,Mo-Fr,14,16,Chausseehaus,18.26
Puderbach -> Neuwied,Mo-Fr,14,17,Torney Dierdorfer Straße,18.29
Puderbach -> Neuwied,Mo-Fr,14,18,Friedhof Wennenberg,18.30
Puderbach -> Neuwied,Mo-Fr,14,19,Neuwied Beverwijker Ring,18.32
Puderbach -> Neuwied,Mo-Fr,14,20,Ludwig-Erhard-Schule,18.35
Puderbach -> Neuwied,Mo-Fr,14,21,Matthiasberg,18.36
Puderbach -> Neuwied,Mo-Fr,14,22,Stadion A,18.38
Puderbach -> Neuwied,Mo-Fr,14,23,Im Weidchen A,18.39
Puderbach -> Neuwied,Mo-Fr,14,24,Schloßtheater A,18.40
Puderbach -> Neuwied,Mo-Fr,14,25,Marktkirche A,18.42
Puderbach -> Neuwied,Mo-Fr,14,26,Marktstraße B,18.43
Puderbach -> Neuwied,Mo-Fr,14,27,Moltkeplatz A,18.45
Puderbach -> Neuwied,Mo-Fr,14,28,Bahnhof H,18.51
Puderbach -> Neuwied,Mo-Fr,15,1,Puderbach Verbandsgemeinde,18.49
Puderbach -> Neuwied,Mo-Fr,15,2,Hölzchens Mühle,18.50
Puderbach -> Neuwied,Mo-Fr,15,3,Hanroth Hedwigsthal A,18.51
Puderbach -> Neuwied,Mo-Fr,15,4,Raubach In der Au,18.55
Puderbach -> Neuwied,Mo-Fr,15,5,Wienau Flemmer,18.58
Puderbach -> Neuwied,Mo-Fr,15,6,Dierdorf Markt an,19.02
Puderbach -> Neuwied,Mo-Fr,15,7,Dierdorf Markt ab,19.03
Puderbach -> Neuwied,Mo-Fr,15,8,Neuwieder Straße B,19.04
Puderbach -> Neuwied,Mo-Fr,15,9,SZ-Center B,19.06
Puderbach -> Neuwied,Mo-Fr,15,10,Rüscheid Siegel,19.13
Puderbach -> Neuwied,Mo-Fr,15,11,Anhausen Petershof A,19.15
Puderbach -> Neuwied,Mo-Fr,15,12,Schillerstraße A an,19.18
Puderbach -> Neuwied,Mo-Fr,15,13,Schillerstraße A ab,19.19
Puderbach -> Neuwied,Mo-Fr,15,14,Braunsberg/Rheinhöhenweg,19.21
Puderbach -> Neuwied,Mo-Fr,15,15,Gladbach Haus am Pilz,19.23
Puderbach -> Neuwied,Mo-Fr,15,16,Chausseehaus,19.26
Puderbach -> Neuwied,Mo-Fr,15,17,Torney Dierdorfer Straße,19.29
Puderbach -> Neuwied,Mo-Fr,15,18,Friedhof Wennenberg,19.30
Puderbach -> Neuwied,Mo-Fr,15,19,Neuwied Beverwijker Ring,19.32
Puderbach -> Neuwied,Mo-Fr,15,20,Ludwig-Erhard-Schule,19.35
Puderbach -> Neuwied,Mo-Fr,15,21,Matthiasberg,19.36
Puderbach -> Neuwied,Mo-Fr,15,22,Stadion A,19.38
Puderbach -> Neuwied,Mo-Fr,15,23,Im Weidchen A,19.39
Puderbach -> Neuwied,Mo-Fr,15,24,Schloßtheater A,19.40
Puderbach -> Neuwied,Mo-Fr,15,25,Marktkirche A,19.42
Puderbach -> Neuwied,Mo-Fr,15,26,Marktstraße B,19.43
Puderbach -> Neuwied,Mo-Fr,15,27,Moltkeplatz A,19.45
Puderbach -> Neuwied,Mo-Fr,15,28,Bahnhof H,19.51
Puderbach -> Neuwied,Mo-Fr,16,1,Dierdorf Markt ab,20.03
Puderbach -> Neuwied,Mo-Fr,16,2,Neuwieder Straße B,20.04
Puderbach -> Neuwied,Mo-Fr,16,3,SZ-Center B,20.06
Puderbach -> Neuwied,Mo-Fr,16,4,Rüscheid Siegel,20.13
Puderbach -> Neuwied,Mo-Fr,16,5,Anhausen Petershof A,20.15
Puderbach -> Neuwied,Mo-Fr,16,6,Schillerstraße A an,20.18
Puderbach -> Neuwied,Mo-Fr,16,7,Schillerstraße A ab,20.19
Puderbach -> Neuwied,Mo-Fr,16,8,Braunsberg/Rheinhöhenweg,20.21
Puderbach -> Neuwied,Mo-Fr,16,9,Gladbach Haus am Pilz,20.23
Puderbach -> Neuwied,Mo-Fr,16,10,Chausseehaus,20.26
Puderbach -> Neuwied,Mo-Fr,16,11,Torney Dierdorfer Straße,20.29
Puderbach -> Neuwied,Mo-Fr,16,12,Friedhof Wennenberg,20.30
Puderbach -> Neuwied,Mo-Fr,16,13,Neuwied Beverwijker Ring,20.32
Puderbach -> Neuwied,Mo-Fr,16,14,Ludwig-Erhard-Schule,20.35
Puderbach -> Neuwied,Mo-Fr,16,15,Matthiasberg,20.36
Puderbach -> Neuwied,Mo-Fr,16,16,Stadion A,20.38
Puderbach -> Neuwied,Mo-Fr,16,17,Im Weidchen A,20.39
Puderbach -> Neuwied,Mo-Fr,16,18,Schloßtheater A,20.40
Puderbach -> Neuwied,Mo-Fr,16,19,Marktkirche A,20.42
Puderbach -> Neuwied,Mo-Fr,16,20,Marktstraße B,20.43
Puderbach -> Neuwied,Mo-Fr,16,21,Moltkeplatz A,20.45
Puderbach -> Neuwied,Mo-Fr,16,22,Bahnhof H,20.51
Puderbach -> Neuwied,Mo-Fr,17,1,Puderbach Verbandsgemeinde,20.49
Puderbach -> Neuwied,Mo-Fr,17,2,Hölzchens Mühle,20.50
Puderbach -> Neuwied,Mo-Fr,17,3,Hanroth Hedwigsthal A,20.51
Puderbach -> Neuwied,Mo-Fr,17,4,Raubach In der Au,20.55
Puderbach -> Neuwied,Mo-Fr,17,5,Wienau Flemmer,20.58
Puderbach -> Neuwied,Mo-Fr,17,6,Dierdorf Markt an,21.02
Puderbach -> Neuwied,Mo-Fr,17,7,Dierdorf Markt ab,21.03
Puderbach -> Neuwied,Mo-Fr,17,8,Neuwieder Straße B,21.04
Puderbach -> Neuwied,Mo-Fr,17,9,SZ-Center B,21.06
Puderbach -> Neuwied,Mo-Fr,17,10,Rüscheid Siegel,21.13
Puderbach -> Neuwied,Mo-Fr,17,11,Anhausen Petershof A,21.15
Puderbach -> Neuwied,Mo-Fr,17,12,Schillerstraße A an,21.18
Puderbach -> Neuwied,Mo-Fr,17,13,Schillerstraße A ab,21.19
Puderbach -> Neuwied,Mo-Fr,17,14,Braunsberg/Rheinhöhenweg,21.21
Puderbach -> Neuwied,Mo-Fr,17,15,Gladbach Haus am Pilz,21.23
Puderbach -> Neuwied,Mo-Fr,17,16,Chausseehaus,21.26
Puderbach -> Neuwied,Mo-Fr,17,17,Torney Dierdorfer Straße,21.29
Puderbach -> Neuwied,Mo-Fr,17,18,Friedhof Wennenberg,21.30
Puderbach -> Neuwied,Mo-Fr,17,19,Neuwied Beverwijker Ring,21.32
Puderbach -> Neuwied,Mo-Fr,17,20,Ludwig-Erhard-Schule,21.35
Puderbach -> Neuwied,Mo-Fr,17,21,Matthiasberg,21.36
Puderbach -> Neuwied,Mo-Fr,17,22,Stadion A,21.38
Puderbach -> Neuwied,Mo-Fr,17,23,Im Weidchen A,21.39
Puderbach -> Neuwied,Mo-Fr,17,24,Schloßtheater A,21.40
Puderbach -> Neuwied,Mo-Fr,17,25,Marktkirche A,21.42
Puderbach -> Neuwied,Mo-Fr,17,26,Marktstraße B,21.43
Puderbach -> Neuwied,Mo-Fr,17,27,Moltkeplatz A,21.45
Puderbach -> Neuwied,Mo-Fr,17,28,Bahnhof H,21.51
Puderbach -> Neuwied,Mo-Fr,18,1,Dierdorf Markt ab,22.03
Puderbach -> Neuwied,Mo-Fr,18,2,Neuwieder Straße B,22.04
Puderbach -> Neuwied,Mo-Fr,18,3,SZ-Center B,22.06
Puderbach -> Neuwied,Mo-Fr,18,4,Rüscheid Siegel,22.13
Puderbach -> Neuwied,Mo-Fr,18,5,Anhausen Petershof A,22.15
Puderbach -> Neuwied,Mo-Fr,18,6,Schillerstraße A an,22.18
Puderbach -> Neuwied,Mo-Fr,18,7,Schillerstraße A ab,22.19
Puderbach -> Neuwied,Mo-Fr,18,8,Braunsberg/Rheinhöhenweg,22.21
Puderbach -> Neuwied,Mo-Fr,18,9,Gladbach Haus am Pilz,22.23
Puderbach -> Neuwied,Mo-Fr,18,10,Chausseehaus,22.26
Puderbach -> Neuwied,Mo-Fr,18,11,Torney Dierdorfer Straße,22.29
Puderbach -> Neuwied,Mo-Fr,18,12,Friedhof Wennenberg,22.30
Puderbach -> Neuwied,Mo-Fr,18,13,Neuwied Beverwijker Ring,22.32
Puderbach -> Neuwied,Mo-Fr,18,14,Ludwig-Erhard-Schule,22.35
Puderbach -> Neuwied,Mo-Fr,18,15,Matthiasberg,22.36
Puderbach -> Neuwied,Mo-Fr,18,16,Stadion A,22.38
Puderbach -> Neuwied,Mo-Fr,18,17,Im Weidchen A,22.39
Puderbach -> Neuwied,Mo-Fr,18,18,Schloßtheater A,22.40
Puderbach -> Neuwied,Mo-Fr,18,19,Marktkirche A,22.42
Puderbach -> Neuwied,Mo-Fr,18,20,Marktstraße B,22.43
Puderbach -> Neuwied,Mo-Fr,18,21,Moltkeplatz A,22.45
Puderbach -> Neuwied,Mo-Fr,18,22,Bahnhof H,22.51
Puderbach -> Neuwied,Sa,1,1,Puderbach Verbandsgemeinde,6.49
Puderbach -> Neuwied,Sa,1,2,Hölzchens Mühle,6.50
Puderbach -> Neuwied,Sa,1,3,Hanroth Hedwigsthal A,6.51
Puderbach -> Neuwied,Sa,1,4,Raubach In der Au,6.55
Puderbach -> Neuwied,Sa,1,5,Wienau Flemmer,6.58
Puderbach -> Neuwied,Sa,1,6,Dierdorf Markt an,7.02
Puderbach -> Neuwied,Sa,1,7,Dierdorf Markt ab,7.03
Puderbach -> Neuwied,Sa,1,8,Neuwieder Straße B,7.04
Puderbach -> Neuwied,Sa,1,9,SZ-Center B,7.06
Puderbach -> Neuwied,Sa,1,10,Rüscheid Siegel,7.13
Puderbach -> Neuwied,Sa,1,11,Anhausen Petershof A,7.15
Puderbach -> Neuwied,Sa,1,12,Schillerstraße A an,7.18
Puderbach -> Neuwied,Sa,1,13,Schillerstraße A ab,7.19
Puderbach -> Neuwied,Sa,1,14,Braunsberg/Rheinhöhenweg,7.21
Puderbach -> Neuwied,Sa,1,15,Gladbach Haus am Pilz,7.23
Puderbach -> Neuwied,Sa,1,16,Chausseehaus,7.26
Puderbach -> Neuwied,Sa,1,17,Torney Dierdorfer Straße,7.29
Puderbach -> Neuwied,Sa,1,18,Friedhof Wennenberg,7.30
Puderbach -> Neuwied,Sa,1,19,Neuwied Beverwijker Ring,7.32
Puderbach -> Neuwied,Sa,1,20,Ludwig-Erhard-Schule,7.35
Puderbach -> Neuwied,Sa,1,21,Matthiasberg,7.36
Puderbach -> Neuwied,Sa,1,22,Stadion A,7.38
Puderbach -> Neuwied,Sa,1,23,Im Weidchen A,7.39
Puderbach -> Neuwied,Sa,1,24,Schloßtheater A,7.40
Puderbach -> Neuwied,Sa,1,25,Marktkirche A,7.42
Puderbach -> Neuwied,Sa,1,26,Marktstraße B,7.43
Puderbach -> Neuwied,Sa,1,27,Moltkeplatz A,7.45
Puderbach -> Neuwied,Sa,1,28,Bahnhof H,7.51
Puderbach -> Neuwied,Sa,2,1,Dierdorf Markt ab,8.03
Puderbach -> Neuwied,Sa,2,2,Neuwieder Straße B,8.04
Puderbach -> Neuwied,Sa,2,3,SZ-Center B,8.06
Puderbach -> Neuwied,Sa,2,4,Rüscheid Siegel,8.13
Puderbach -> Neuwied,Sa,2,5,Anhausen Petershof A,8.15
Puderbach -> Neuwied,Sa,2,6,Schillerstraße A an,8.18
Puderbach -> Neuwied,Sa,2,7,Schillerstraße A ab,8.19
Puderbach -> Neuwied,Sa,2,8,Braunsberg/Rheinhöhenweg,8.21
Puderbach -> Neuwied,Sa,2,9,Gladbach Haus am Pilz,8.23
Puderbach -> Neuwied,Sa,2,10,Chausseehaus,8.26
Puderbach -> Neuwied,Sa,2,11,Torney Dierdorfer Straße,8.29
Puderbach -> Neuwied,Sa,2,12,Friedhof Wennenberg,8.30
Puderbach -> Neuwied,Sa,2,13,Neuwied Beverwijker Ring,8.32
Puderbach -> Neuwied,Sa,2,14,Ludwig-Erhard-Schule,8.35
Puderbach -> Neuwied,Sa,2,15,Matthiasberg,8.36
Puderbach -> Neuwied,Sa,2,16,Stadion A,8.38
Puderbach -> Neuwied,Sa,2,17,Im Weidchen A,8.39
Puderbach -> Neuwied,Sa,2,18,Schloßtheater A,8.40
Puderbach -> Neuwied,Sa,2,19,Marktkirche A,8.42
Puderbach -> Neuwied,Sa,2,20,Marktstraße B,8.43
Puderbach -> Neuwied,Sa,2,21,Moltkeplatz A,8.45
Puderbach -> Neuwied,Sa,2,22,Bahnhof H,8.51
Puderbach -> Neuwied,Sa,3,1,Puderbach Verbandsgemeinde,8.49
Puderbach -> Neuwied,Sa,3,2,Hölzchens Mühle,8.50
Puderbach -> Neuwied,Sa,3,3,Hanroth Hedwigsthal A,8.51
Puderbach -> Neuwied,Sa,3,4,Raubach In der Au,8.55
Puderbach -> Neuwied,Sa,3,5,Wienau Flemmer,8.58
Puderbach -> Neuwied,Sa,3,6,Dierdorf Markt an,9.02
Puderbach -> Neuwied,Sa,3,7,Dierdorf Markt ab,9.03
Puderbach -> Neuwied,Sa,3,8,Neuwieder Straße B,9.04
Puderbach -> Neuwied,Sa,3,9,SZ-Center B,9.06
Puderbach -> Neuwied,Sa,3,10,Rüscheid Siegel,9.13
Puderbach -> Neuwied,Sa,3,11,Anhausen Petershof A,9.15
Puderbach -> Neuwied,Sa,3,12,Schillerstraße A an,9.18
Puderbach -> Neuwied,Sa,3,13,Schillerstraße A ab,9.19
Puderbach -> Neuwied,Sa,3,14,Braunsberg/Rheinhöhenweg,9.21
Puderbach -> Neuwied,Sa,3,15,Gladbach Haus am Pilz,9.23
Puderbach -> Neuwied,Sa,3,16,Chausseehaus,9.26
Puderbach -> Neuwied,Sa,3,17,Torney Dierdorfer Straße,9.29
Puderbach -> Neuwied,Sa,3,18,Friedhof Wennenberg,9.30
Puderbach -> Neuwied,Sa,3,19,Neuwied Beverwijker Ring,9.32
Puderbach -> Neuwied,Sa,3,20,Ludwig-Erhard-Schule,9.35
Puderbach -> Neuwied,Sa,3,21,Matthiasberg,9.36
Puderbach -> Neuwied,Sa,3,22,Stadion A,9.38
Puderbach -> Neuwied,Sa,3,23,Im Weidchen A,9.39
Puderbach -> Neuwied,Sa,3,24,Schloßtheater A,9.40
Puderbach -> Neuwied,Sa,3,25,Marktkirche A,9.42
Puderbach -> Neuwied,Sa,3,26,Marktstraße B,9.43
Puderbach -> Neuwied,Sa,3,27,Moltkeplatz A,9.45
Puderbach -> Neuwied,Sa,3,28,Bahnhof H,9.51
Puderbach -> Neuwied,Sa,4,1,Dierdorf Markt ab,10.03
Puderbach -> Neuwied,Sa,4,2,Neuwieder Straße B,10.04
Puderbach -> Neuwied,Sa,4,3,SZ-Center B,10.06
Puderbach -> Neuwied,Sa,4,4,Rüscheid Siegel,10.13
Puderbach -> Neuwied,Sa,4,5,Anhausen Petershof A,10.15
Puderbach -> Neuwied,Sa,4,6,Schillerstraße A an,10.18
Puderbach -> Neuwied,Sa,4,7,Schillerstraße A ab,10.19
Puderbach -> Neuwied,Sa,4,8,Braunsberg/Rheinhöhenweg,10.21
Puderbach -> Neuwied,Sa,4,9,Gladbach Haus am Pilz,10.23
Puderbach -> Neuwied,Sa,4,10,Chausseehaus,10.26
Puderbach -> Neuwied,Sa,4,11,Torney Dierdorfer Straße,10.29
Puderbach -> Neuwied,Sa,4,12,Friedhof Wennenberg,10.30
Puderbach -> Neuwied,Sa,4,13,Neuwied Beverwijker Ring,10.32
Puderbach -> Neuwied,Sa,4,14,Ludwig-Erhard-Schule,10.35
Puderbach -> Neuwied,Sa,4,15,Matthiasberg,10.36
Puderbach -> Neuwied,Sa,4,16,Stadion A,10.38
Puderbach -> Neuwied,Sa,4,17,Im Weidchen A,10.39
Puderbach -> Neuwied,Sa,4,18,Schloßtheater A,10.40
Puderbach -> Neuwied,Sa,4,19,Marktkirche A,10.42
Puderbach -> Neuwied,Sa,4,20,Marktstraße B,10.43
Puderbach -> Neuwied,Sa,4,21,Moltkeplatz A,10.45
Puderbach -> Neuwied,Sa,4,22,Bahnhof H,10.51
Puderbach -> Neuwied,Sa,5,1,Puderbach Verbandsgemeinde,10.49
Puderbach -> Neuwied,Sa,5,2,Hölzchens Mühle,10.50
Puderbach -> Neuwied,Sa,5,3,Hanroth Hedwigsthal A,10.51
Puderbach -> Neuwied,Sa,5,4,Raubach In der Au,10.55
Puderbach -> Neuwied,Sa,5,5,Wienau Flemmer,10.58
Puderbach -> Neuwied,Sa,5,6,Dierdorf Markt an,11.02
Puderbach -> Neuwied,Sa,5,7,Dierdorf Markt ab,11.03
Puderbach -> Neuwied,Sa,5,8,Neuwieder Straße B,11.04
Puderbach -> Neuwied,Sa,5,9,SZ-Center B,11.06
Puderbach -> Neuwied,Sa,5,10,Rüscheid Siegel,11.13
Puderbach -> Neuwied,Sa,5,11,Anhausen Petershof A,11.15
Puderbach -> Neuwied,Sa,5,12,Schillerstraße A an,11.18
Puderbach -> Neuwied,Sa,5,13,Schillerstraße A ab,11.19
Puderbach -> Neuwied,Sa,5,14,Braunsberg/Rheinhöhenweg,11.21
Puderbach -> Neuwied,Sa,5,15,Gladbach Haus am Pilz,11.23
Puderbach -> Neuwied,Sa,5,16,Chausseehaus,11.26
Puderbach -> Neuwied,Sa,5,17,Torney Dierdorfer Straße,11.29
Puderbach -> Neuwied,Sa,5,18,Friedhof Wennenberg,11.30
Puderbach -> Neuwied,Sa,5,19,Neuwied Beverwijker Ring,11.32
Puderbach -> Neuwied,Sa,5,20,Ludwig-Erhard-Schule,11.35
Puderbach -> Neuwied,Sa,5,21,Matthiasberg,11.36
Puderbach -> Neuwied,Sa,5,22,Stadion A,11.38
Puderbach -> Neuwied,Sa,5,23,Im Weidchen A,11.39
Puderbach -> Neuwied,Sa,5,24,Schloßtheater A,11.40
Puderbach -> Neuwied,Sa,5,25,Marktkirche A,11.42
Puderbach -> Neuwied,Sa,5,26,Marktstraße B,11.43
Puderbach -> Neuwied,Sa,5,27,Moltkeplatz A,11.45
Puderbach -> Neuwied,Sa,5,28,Bahnhof H,11.51
Puderbach -> Neuwied,Sa,6,1,Dierdorf Markt ab,12.03
Puderbach -> Neuwied,Sa,6,2,Neuwieder Straße B,12.04
Puderbach -> Neuwied,Sa,6,3,SZ-Center B,12.06
Puderbach -> Neuwied,Sa,6,4,Rüscheid Siegel,12.13
Puderbach -> Neuwied,Sa,6,5,Anhausen Petershof A,12.15
Puderbach -> Neuwied,Sa,6,6,Schillerstraße A an,12.18
Puderbach -> Neuwied,Sa,6,7,Schillerstraße A ab,12.19
Puderbach -> Neuwied,Sa,6,8,Braunsberg/Rheinhöhenweg,12.21
Puderbach -> Neuwied,Sa,6,9,Gladbach Haus am Pilz,12.23
Puderbach -> Neuwied,Sa,6,10,Chausseehaus,12.26
Puderbach -> Neuwied,Sa,6,11,Torney Dierdorfer Straße,12.29
Puderbach -> Neuwied,Sa,6,12,Friedhof Wennenberg,12.30
Puderbach -> Neuwied,Sa,6,13,Neuwied Beverwijker Ring,12.32
Puderbach -> Neuwied,Sa,6,14,Ludwig-Erhard-Schule,12.35
Puderbach -> Neuwied,Sa,6,15,Matthiasberg,12.36
Puderbach -> Neuwied,Sa,6,16,Stadion A,12.38
Puderbach -> Neuwied,Sa,6,17,Im Weidchen A,12.39
Puderbach -> Neuwied,Sa,6,18,Schloßtheater A,12.40
Puderbach -> Neuwied,Sa,6,19,Marktkirche A,12.42
Puderbach -> Neuwied,Sa,6,20,Marktstraße B,12.43
Puderbach -> Neuwied,Sa,6,21,Moltkeplatz A,12.45
Puderbach -> Neuwied,Sa,6,22,Bahnhof H,12.51
Puderbach -> Neuwied,Sa,7,1,Puderbach Verbandsgemeinde,12.49
Puderbach -> Neuwied,Sa,7,2,Hölzchens Mühle,12.50
Puderbach -> Neuwied,Sa,7,3,Hanroth Hedwigsthal A,12.51
Puderbach -> Neuwied,Sa,7,4,Raubach In der Au,12.55
Puderbach -> Neuwied,Sa,7,5,Wienau Flemmer,12.58
Puderbach -> Neuwied,Sa,7,6,Dierdorf Markt an,13.02
Puderbach -> Neuwied,Sa,7,7,Dierdorf Markt ab,13.03
Puderbach -> Neuwied,Sa,7,8,Neuwieder Straße B,13.04
Puderbach -> Neuwied,Sa,7,9,SZ-Center B,13.06
Puderbach -> Neuwied,Sa,7,10,Rüscheid Siegel,13.13
Puderbach -> Neuwied,Sa,7,11,Anhausen Petershof A,13.15
Puderbach -> Neuwied,Sa,7,12,Schillerstraße A an,13.18
Puderbach -> Neuwied,Sa,7,13,Schillerstraße A ab,13.19
Puderbach -> Neuwied,Sa,7,14,Braunsberg/Rheinhöhenweg,13.21
Puderbach -> Neuwied,Sa,7,15,Gladbach Haus am Pilz,13.23
Puderbach -> Neuwied,Sa,7,16,Chausseehaus,13.26
Puderbach -> Neuwied,Sa,7,17,Torney Dierdorfer Straße,13.29
Puderbach -> Neuwied,Sa,7,18,Friedhof Wennenberg,13.30
Puderbach -> Neuwied,Sa,7,19,Neuwied Beverwijker Ring,13.32
Puderbach -> Neuwied,Sa,7,20,Ludwig-Erhard-Schule,13.35
Puderbach -> Neuwied,Sa,7,21,Matthiasberg,13.36
Puderbach -> Neuwied,Sa,7,22,Stadion A,13.38
Puderbach -> Neuwied,Sa,7,23,Im Weidchen A,13.39
Puderbach -> Neuwied,Sa,7,24,Schloßtheater A,13.40
Puderbach -> Neuwied,Sa,7,25,Marktkirche A,13.42
Puderbach -> Neuwied,Sa,7,26,Marktstraße B,13.43
Puderbach -> Neuwied,Sa,7,27,Moltkeplatz A,13.45
Puderbach -> Neuwied,Sa,7,28,Bahnhof H,13.51
Puderbach -> Neuwied,Sa,8,1,Dierdorf Markt ab,14.03
Puderbach -> Neuwied,Sa,8,2,Neuwieder Straße B,14.04
Puderbach -> Neuwied,Sa,8,3,SZ-Center B,14.06
Puderbach -> Neuwied,Sa,8,4,Rüscheid Siegel,14.13
Puderbach -> Neuwied,Sa,8,5,Anhausen Petershof A,14.15
Puderbach -> Neuwied,Sa,8,6,Schillerstraße A an,14.18
Puderbach -> Neuwied,Sa,8,7,Schillerstraße A ab,14.19
Puderbach -> Neuwied,Sa,8,8,Braunsberg/Rheinhöhenweg,14.21
Puderbach -> Neuwied,Sa,8,9,Gladbach Haus am Pilz,14.23
Puderbach -> Neuwied,Sa,8,10,Chausseehaus,14.26
Puderbach -> Neuwied,Sa,8,11,Torney Dierdorfer Straße,14.29
Puderbach -> Neuwied,Sa,8,12,Friedhof Wennenberg,14.30
Puderbach -> Neuwied,Sa,8,13,Neuwied Beverwijker Ring,14.32
Puderbach -> Neuwied,Sa,8,14,Ludwig-Erhard-Schule,14.35
Puderbach -> Neuwied,Sa,8,15,Matthiasberg,14.36
Puderbach -> Neuwied,Sa,8,16,Stadion A,14.38
Puderbach -> Neuwied,Sa,8,17,Im Weidchen A,14.39
Puderbach -> Neuwied,Sa,8,18,Schloßtheater A,14.40
Puderbach -> Neuwied,Sa,8,19,Marktkirche A,14.42
Puderbach -> Neuwied,Sa,8,20,Marktstraße B,14.43
Puderbach -> Neuwied,Sa,8,21,Moltkeplatz A,14.45
Puderbach -> Neuwied,Sa,8,22,Bahnhof H,14.51
Puderbach -> Neuwied,Sa,9,1,Puderbach Verbandsgemeinde,14.49
Puderbach -> Neuwied,Sa,9,2,Hölzchens Mühle,14.50
Puderbach -> Neuwied,Sa,9,3,Hanroth Hedwigsthal A,14.51
Puderbach -> Neuwied,Sa,9,4,Raubach In der Au,14.55
Puderbach -> Neuwied,Sa,9,5,Wienau Flemmer,14.58
Puderbach -> Neuwied,Sa,9,6,Dierdorf Markt an,15.02
Puderbach -> Neuwied,Sa,9,7,Dierdorf Markt ab,15.03
Puderbach -> Neuwied,Sa,9,8,Neuwieder Straße B,15.04
Puderbach -> Neuwied,Sa,9,9,SZ-Center B,15.06
Puderbach -> Neuwied,Sa,9,10,Rüscheid Siegel,15.13
Puderbach -> Neuwied,Sa,9,11,Anhausen Petershof A,15.15
Puderbach -> Neuwied,Sa,9,12,Schillerstraße A an,15.18
Puderbach -> Neuwied,Sa,9,13,Schillerstraße A ab,15.19
Puderbach -> Neuwied,Sa,9,14,Braunsberg/Rheinhöhenweg,15.21
Puderbach -> Neuwied,Sa,9,15,Gladbach Haus am Pilz,15.23
Puderbach -> Neuwied,Sa,9,16,Chausseehaus,15.26
Puderbach -> Neuwied,Sa,9,17,Torney Dierdorfer Straße,15.29
Puderbach -> Neuwied,Sa,9,18,Friedhof Wennenberg,15.30
Puderbach -> Neuwied,Sa,9,19,Neuwied Beverwijker Ring,15.32
Puderbach -> Neuwied,Sa,9,20,Ludwig-Erhard-Schule,15.35
Puderbach -> Neuwied,Sa,9,21,Matthiasberg,15.36
Puderbach -> Neuwied,Sa,9,22,Stadion A,15.38
Puderbach -> Neuwied,Sa,9,23,Im Weidchen A,15.39
Puderbach -> Neuwied,Sa,9,24,Schloßtheater A,15.40
Puderbach -> Neuwied,Sa,9,25,Marktkirche A,15.42
