richtung,tagestyp,fahrt_nr,reihenfolge,haltestelle,uhrzeit
Puderbach -> Neuwied,Mo-Fr,3,13,Schillerstraße A ab,7.19
Puderbach -> Neuwied,Mo-Fr,3,14,Braunsberg/Rheinhöhenweg,7.21
Puderbach -> Neuwied,Mo-Fr,3,15,Gladbach Haus am Pilz,7.23
Puderbach -> Neuwied,Mo-Fr,3,16,Chausseehaus,7.26
Puderbach -> Neuwied,Mo-Fr,3,17,Torney Dierdorfer Straße,7.29
Puderbach -> Neuwied,Mo-Fr,3,18,Friedhof Wennenberg,7.30
Puderbach -> Neuwied,Mo-Fr,3,19,Neuwied Beverwijker Ring,7.32
Puderbach -> Neuwied,Mo-Fr,3,20,Ludwig-Erhard-Schule,7.35
Puderbach -> Neuwied,Mo-Fr,3,21,Matthiasberg,7.36
Puderbach -> Neuwied,Mo-Fr,3,22,Stadion A,7.38
Puderbach -> Neuwied,Mo-Fr,3,23,Im Weidchen A,7.39
Puderbach -> Neuwied,Mo-Fr,3,24,Schloßtheater A,7.40
Puderbach -> Neuwied,Mo-Fr,3,25,Marktkirche A,7.42
Puderbach -> Neuwied,Mo-Fr,3,26,Marktstraße B,7.43
Puderbach -> Neuwied,Mo-Fr,3,27,Moltkeplatz A,7.45
Puderbach -> Neuwied,Mo-Fr,3,28,Bahnhof H,7.51
Puderbach -> Neuwied,Mo-Fr,4,1,Puderbach Verbandsgemeinde,7.49
Puderbach -> Neuwied,Mo-Fr,4,2,Hölzchens Mühle,7.50
Puderbach -> Neuwied,Mo-Fr,4,3,Hanroth Hedwigsthal A,7.51
Puderbach -> Neuwied,Mo-Fr,4,4,Raubach In der Au,7.55
Puderbach -> Neuwied,Mo-Fr,4,5,Wienau Flemmer,7.58
Puderbach -> Neuwied,Mo-Fr,4,6,Dierdorf Markt an,8.02
Puderbach -> Neuwied,Mo-Fr,4,7,Dierdorf Markt ab,8.03
Puderbach -> Neuwied,Mo-Fr,4,8,Neuwieder Straße B,8.04
Puderbach -> Neuwied,Mo-Fr,4,9,SZ-Center B,8.06
Puderbach -> Neuwied,Mo-Fr,4,10,Rüscheid Siegel,8.13
Puderbach -> Neuwied,Mo-Fr,4,11,Anhausen Petershof A,8.15
Puderbach -> Neuwied,Mo-Fr,4,12,Schillerstraße A an,8.18
Puderbach -> Neuwied,Mo-Fr,4,13,Schillerstraße A ab,8.19
Puderbach -> Neuwied,Mo-Fr,4,14,Braunsberg/Rheinhöhenweg,8.21
Puderbach -> Neuwied,Mo-Fr,4,15,Gladbach Haus am Pilz,8.23
Puderbach -> Neuwied,Mo-Fr,4,16,Chausseehaus,8.26
Puderbach -> Neuwied,Mo-Fr,4,17,Torney Dierdorfer Straße,8.29
