idint,linie,centerx,centery,title
vrm-80,,7.125334392620924,50.44635663582284,"Spessart, Wendeplatz"
vrm-81,,7.106254582608005,50.442077255157635,"Spessart, Waldstraße"
vrm-82,,7.144911333311025,50.44433232238744,"Spessart, Landesstraße"
vrm-83,,7.144925893498069,50.44436153751196,"Spessart, Landesstraße"
vrm-84,,7.176250372049026,50.41689373627751,"Wehr (Eifel), Abzw. Steinbergerhof"
vrm-85,,7.144231886342561,50.40624262701952,"Weibern, Eifelstube"
vrm-86,,7.132460568087768,50.41216002907439,"Weibern, Freibad"
vrm-87,,7.132406291951125,50.41205088622454,"Weibern, Freibad"
vrm-88,,7.152924185413117,50.41195446189272,"Weibern, Gewerbegebiet"
vrm-89,,7.15292000218022,50.41195648678555,"Weibern, Gewerbegebiet"
vrm-90,,7.148388642911055,50.40651555964203,"Weibern, Grundschule"
vrm-91,,7.136766101140658,50.41005232481934,"Weibern, Hommersberg"
vrm-92,,7.136765731074126,50.41005286218439,"Weibern, Hommersberg"
vrm-93,,7.143659160795943,50.406259455059455,"Weibern, Mariensäule"
vrm-94,,7.143922538298278,50.40601831519839,"Weibern, Mariensäule"
vrm-95,,7.150595018033947,50.40808042352392,"Weibern, Steinmetzbahnhof"
vrm-96,,7.150593372526172,50.40808794652133,"Weibern, Steinmetzbahnhof"
vrm-97,,7.0900583987438734,50.46727417810656,"Heckenbach, Beilstein Abzw."
vrm-98,,7.090042987381254,50.46728128503717,"Heckenbach, Beilstein Abzw."
vrm-99,,7.082751561983776,50.468123750153175,"Heckenbach, Beilstein Ort"
vrm-100,,7.081295957166308,50.4450105859922,"Heckenbach, Cassel"
vrm-101,,7.043574426461356,50.45585090714932,"Heckenbach, Fronrath"
vrm-102,,7.0647670955652195,50.46574406168223,"Heckenbach, Niederheckenbach"
vrm-103,,7.064739720104363,50.465756861626865,"Heckenbach, Niederheckenbach"
vrm-104,,7.079595436650467,50.461556881951886,"Heckenbach, Oberheckenbach"
vrm-105,,7.079522338824671,50.461567625693746,"Heckenbach, Oberheckenbach"
vrm-106,,7.060796440196357,50.45628495704541,"Heckenbach, Watzel"
vrm-107,,7.060772654028997,50.4562917556486,"Heckenbach, Watzel"
vrm-108,,6.955917745739508,50.472496965997166,"Hönningen (Ahr), Friedhof"
vrm-109,,6.955915222413712,50.472503427857816,"Hönningen (Ahr), Friedhof"
vrm-110,,6.959667836596053,50.473567394828265,"Hönningen (Ahr), In den Weidenhecken"
vrm-111,,6.959646911477887,50.47355831287698,"Hönningen (Ahr), In den Weidenhecken"
vrm-112,,6.950346763476921,50.47100046356823,"Hönningen (Ahr), Kirche"
vrm-113,,6.950076365537323,50.47107355566926,"Hönningen (Ahr), Kirche"
vrm-114,,6.948522890001163,50.45742195363941,"Hönningen (Ahr), Bundesstraße"
vrm-115,,6.948549000291168,50.45741606004375,"Hönningen (Ahr), Bundesstraße"
vrm-116,,6.9446672474006235,50.45734329922653,"Hönningen (Ahr), Dorfplatz"
vrm-117,,7.01960470216723,50.456304107760644,"Kesseling, Weidenbach Abzw."
vrm-118,,7.019519043590274,50.456334326566115,"Kesseling, Weidenbach Abzw."
vrm-119,,7.017366092014486,50.45601292355483,"Kesseling, Weidenbach Ort"
vrm-120,,6.9230677534747125,50.38570199933608,"Adenau, Alter Bahnhof"
vrm-121,,6.923073731761471,50.38570057361961,"Adenau, Alter Bahnhof"
vrm-122,,6.9429198871465045,50.381779878172956,"Adenau, Buttermarkt"
vrm-123,,6.9429956718323265,50.38169864551775,"Adenau, Buttermarkt"
vrm-124,,6.932455233571957,50.383253477781054,"Adenau, Dr.-Creutz-Platz"
vrm-125,,6.933937751206513,50.38163141150485,"Adenau, Hocheifelhalle"
vrm-126,,6.933928990961338,50.38160370210053,"Adenau, Hocheifelhalle"
vrm-127,,6.946904355735038,50.37906452511053,"Adenau, Im Broel"
vrm-128,,6.947270572784301,50.37918647608416,"Adenau, Im Broel"
vrm-129,,6.929464151424488,50.38254026164,"Adenau, Markt"
vrm-130,,6.929628200736888,50.382498475595675,"Adenau, Markt"
vrm-131,,6.929628200736888,50.382498475595675,"Adenau, Markt"
vrm-132,,6.929628200736888,50.382498475595675,"Adenau, Markt"
vrm-133,,6.931807553387813,50.37719400901828,"Adenau, Schulzentrum"
vrm-134,,6.931856030702174,50.37720435349601,"Adenau, Schulzentrum"
vrm-135,,6.931856030702174,50.37720435349601,"Adenau, Schulzentrum"
vrm-136,,6.931856030702174,50.37720435349601,"Adenau, Schulzentrum"
vrm-137,,6.931856030702174,50.37720435349601,"Adenau, Schulzentrum"
vrm-138,,6.931856030702174,50.37720435349601,"Adenau, Schulzentrum"
vrm-139,,6.948101280207999,50.37915477321576,"Adenau, Trierer Straße"
vrm-140,,6.948059609504115,50.3791554306908,"Adenau, Trierer Straße"
vrm-141,,6.952707498588367,50.3733788943849,"Adenau, Brunnenstraße"
vrm-142,,6.952710867699904,50.37338197907752,"Adenau, Brunnenstraße"
vrm-143,,6.933073734207148,50.44298602109966,"Dümpelfeld, Ahrstraße"
vrm-144,,6.933102223422546,50.44298537198253,"Dümpelfeld, Ahrstraße"
vrm-145,,6.9347608075387654,50.44222126029651,"Dümpelfeld, Bundesstraße"
vrm-146,,6.933750237612299,50.44170099152414,"Dümpelfeld, Bundesstraße"
vrm-147,,6.918581905780773,50.4282044294957,"Dümpelfeld, Insuler Weg"
vrm-148,,6.91563878887301,50.42502242913238,"Dümpelfeld, Rosenweg"
vrm-149,,6.9320079728280675,50.42904347492639,"Dümpelfeld, Kirche"
vrm-150,,6.931977204832966,50.429050922684084,"Dümpelfeld, Kirche"
vrm-151,,6.968684174501332,50.365935261192135,"Herschbroich, Gemeindehaus"
vrm-152,,6.96866840769207,50.36593556863391,"Herschbroich, Gemeindehaus"
vrm-153,,6.967097757677601,50.368675336460285,"Herschbroich, Mühlenhardtstraße"
vrm-154,,6.967102785330612,50.36867851972461,"Herschbroich, Mühlenhardtstraße"
vrm-155,,6.8987925033604265,50.37775636398605,"Honerath (b Adenau), Kapelle"
vrm-156,,6.898817656879452,50.377808270665014,"Honerath (b Adenau), Kapelle"
vrm-157,,7.024342517663895,50.38497118119839,"Kaltenborn (b Adenau), Kaiser-Wilhelm-Turm"
vrm-158,,7.024554150477968,50.3848155130387,"Kaltenborn (b Adenau), Kaiser-Wilhelm-Turm"
vrm-159,,6.993085227263368,50.39283726205061,"Kaltenborn (b Adenau), Hochacht"
vrm-160,,6.993097866897252,50.39283959897342,"Kaltenborn (b Adenau), Hochacht"
vrm-161,,6.90057332374701,50.35361406233109,"Kottenborn, Gemeindehaus"
vrm-162,,6.904449489250398,50.35780997487039,"Kottenborn, Unter dem Acker"
vrm-163,,6.904438832963143,50.35781578878745,"Kottenborn, Unter dem Acker"
vrm-164,,6.9604399775164225,50.402062384683354,"Leimbach (b Adenau), Adorfer Hof"
vrm-165,,6.942456987279913,50.404429810553594,"Leimbach (b Adenau), Am Rosenberg"
vrm-166,,6.942450030030199,50.40443884759081,"Leimbach (b Adenau), Am Rosenberg"
vrm-167,,6.933794003168987,50.403238986944295,"Leimbach (b Adenau), Bellerwiese"
vrm-168,,6.933789807111037,50.40325992563423,"Leimbach (b Adenau), Bellerwiese"
vrm-169,,6.925835374083577,50.40412265648344,"Leimbach (b Adenau), Gartenstraße"
vrm-170,,6.925841695226587,50.40415280578736,"Leimbach (b Adenau), Gartenstraße"
vrm-171,,6.922494431297647,50.329574680210456,"Müllenbach (b Adenau), Grube Rosalia"
vrm-172,,6.922417427891078,50.329562596354336,"Müllenbach (b Adenau), Grube Rosalia"
vrm-173,,6.911982435070663,50.31927206392471,"Müllenbach (b Adenau), Kindergarten"
vrm-174,,6.911936487480871,50.319273794470575,"Müllenbach (b Adenau), Kindergarten"
vrm-175,,6.917010472425381,50.32054249112117,"Müllenbach (b Adenau), Oberdorf"
vrm-176,,6.917177098904804,50.320546126725716,"Müllenbach (b Adenau), Oberdorf"
vrm-177,,6.921235217983907,50.333896054210584,"Müllenbach (b Adenau), Potsdamer Platz"
vrm-178,,6.921163536532652,50.33414542667169,"Müllenbach (b Adenau), Potsdamer Platz"
vrm-179,,6.945059365464414,50.33124341777765,"Nürburg, Nürburgring Eifeldorf"
vrm-180,,6.937829123153579,50.35135539088295,"Quiddelbach, Kirche"
vrm-181,,6.937828861862894,50.35137011092954,"Quiddelbach, Kirche"
vrm-182,,6.929510571098433,50.342626662036,"Quiddelbach, Quiddelbacher Höhe"
vrm-183,,6.929506809831548,50.34264134073257,"Quiddelbach, Quiddelbacher Höhe"
vrm-184,,6.892058305423174,50.33678948987475,"Wiesemscheid, Dorfplatz"
vrm-185,,6.892013206703856,50.33679554013947,"Wiesemscheid, Dorfplatz"
vrm-186,,6.912047635868732,50.36606656426109,"Wimbach, An der Aacht"
vrm-187,,6.912034206216324,50.36607457313818,"Wimbach, An der Aacht"
vrm-188,,6.910143361695357,50.36363487903215,"Wimbach, Gemeindehaus"
vrm-189,,6.910130330199702,50.36363880838216,"Wimbach, Gemeindehaus"
vrm-190,,6.910237552044413,50.362418465210425,"Wimbach, Nürburgringschule"
vrm-191,,7.283467629349538,50.45758922426568,"Burgbrohl, Bahnhof"
vrm-192,,7.283419433560457,50.457694131939455,"Burgbrohl, Bahnhof"
vrm-193,,7.283419433560457,50.457694131939455,"Burgbrohl, Bahnhof"
vrm-194,,7.275621302053207,50.45633763284515,"Burgbrohl, Brücke"
vrm-195,,7.268913963231289,50.45830805628182,"Burgbrohl, Finkenberg"
vrm-196,,7.268997939074648,50.45831692146227,"Burgbrohl, Finkenberg"
vrm-197,,7.274620279496642,50.457014707475935,"Burgbrohl, Josefsplatz"
vrm-198,,7.274073430450123,50.4574479399399,"Burgbrohl, Josefsplatz"
vrm-199,,7.270549943092694,50.45651743030688,"Burgbrohl, Schule"
vrm-200,,7.280592006859997,50.46637162828488,"Burgbrohl, Dorfplatz"
vrm-201,,7.280581703464851,50.46640348852724,"Burgbrohl, Dorfplatz"
vrm-202,,7.258873868152954,50.45919108978118,"Burgbrohl, Bahnhof"
vrm-203,,7.258738608886427,50.45915318869031,"Burgbrohl, Bahnhof"
vrm-204,,7.258738608886427,50.45915318869031,"Burgbrohl, Bahnhof"
vrm-205,,7.2511117229001,50.461627960490816,"Burgbrohl, Im Heinzenberg"
vrm-206,,7.251151439347081,50.46163869671547,"Burgbrohl, Im Heinzenberg"
vrm-207,,7.173916799716827,50.484593935206554,"Dedenbach, Königsfelder Straße"
vrm-208,,7.173884553662579,50.48460102371968,"Dedenbach, Königsfelder Straße"
vrm-209,,7.178010063621915,50.49674881469312,"Königsfeld (Eifel), Burgstraße"
vrm-210,,7.178112711441084,50.496719462405494,"Königsfeld (Eifel), Burgstraße"
vrm-211,,7.176712325376441,50.4994070928467,"Königsfeld (Eifel), Neuenahrer Straße"
vrm-212,,7.176711362033145,50.49942274121575,"Königsfeld (Eifel), Neuenahrer Straße"
vrm-213,,7.202089231198353,50.467530007358626,"Niederzissen, Abzw. Bächelsberg"
vrm-214,,7.202131139236979,50.467610195927215,"Niederzissen, Abzw. Bächelsberg"
vrm-215,,7.205498933290118,50.46685519226466,"Niederzissen, Bächelsberg"
vrm-216,,7.205526732699169,50.4668801219297,"Niederzissen, Bächelsberg"
vrm-217,,7.223141594880397,50.461232303760205,"Niederzissen, Bahnhof"
vrm-218,,7.223492346114994,50.460865039663986,"Niederzissen, Bahnhof/Brohltalstraße"
vrm-219,,7.223767932940371,50.461061984240665,"Niederzissen, Bahnhof/Brohltalstraße"
vrm-220,,7.215667588045421,50.45926417997681,"Niederzissen, Busbahnhof"
vrm-221,,7.216936401548079,50.459640986484764,"Niederzissen, Busbahnhof"
vrm-222,,7.215767817156769,50.459603607795195,"Niederzissen, Busbahnhof"
vrm-223,,7.216945558311366,50.45949699054302,"Niederzissen, Busbahnhof"
vrm-224,,7.222696735865755,50.45391325680991,"Niederzissen, Im Joch"
vrm-225,,7.222703432808163,50.45375146676466,"Niederzissen, Im Joch"
vrm-226,,7.220817345536168,50.46124323113515,"Niederzissen, Im Sonnenwinkel"
vrm-227,,7.220817413603651,50.46121477484162,"Niederzissen, Im Sonnenwinkel"
vrm-228,,7.221182042143262,50.4571920896933,"Niederzissen, Kirche"
vrm-229,,7.221250135536093,50.45719200905334,"Niederzissen, Kirche"
vrm-230,,7.221972455612522,50.4573724682496,"Niederzissen, Kirchgasse"
vrm-231,,7.216604806015796,50.45808210006877,"Niederzissen, Rathaus"
vrm-232,,7.216596189565507,50.45806515205946,"Niederzissen, Rathaus"
vrm-233,,7.212651910168807,50.4546182147304,"Niederzissen, Schule"
vrm-234,,7.214288318903919,50.46245217446376,"Niederzissen, Wiesenweg"
vrm-235,,7.214289333483111,50.46245489644724,"Niederzissen, Wiesenweg"
vrm-236,,7.18995274729942,50.47565666801326,"Niederzissen, Landesstraße"
vrm-237,,7.189984129279297,50.47572348721407,"Niederzissen, Landesstraße"
vrm-238,,7.134392626209049,50.49411906043702,"Schalkenbach, Mittelvinxt"
vrm-239,,7.134361244287997,50.49414651367412,"Schalkenbach, Mittelvinxt"
vrm-240,,7.150257499075128,50.49566911545778,"Schalkenbach, Mühlenborn"
vrm-241,,7.127249573329133,50.49186022834863,"Schalkenbach, Obervinxt"
vrm-242,,7.142672718305338,50.493654177209855,"Schalkenbach, Schule"
vrm-243,,7.14040597653624,50.49539118848309,"Schalkenbach, Untervinxt"
vrm-244,,7.140444587708189,50.495422117927774,"Schalkenbach, Untervinxt"
vrm-245,,7.292666851901472,50.51583096228587,"Bad Breisig, Am Kesselberg"
vrm-246,,7.291821998042426,50.51672794161693,"Bad Breisig, Am Kesselberg"
vrm-247,,7.279125635568847,50.50449487895526,"Bad Breisig, Am Klosterberg"
vrm-248,,7.279128191803648,50.504489861562504,"Bad Breisig, Am Klosterberg"
vrm-249,,7.294673647159305,50.50825254835054,"Bad Breisig, Arweg"
vrm-250,,7.294618448958879,50.50825251574836,"Bad Breisig, Arweg"
vrm-251,,7.304303280439232,50.504882436541614,"Bad Breisig, Bahnhof"
vrm-252,,7.304757064655123,50.50437130819737,"Bad Breisig, Bahnhof"
vrm-253,,7.304757064655123,50.50437130819737,"Bad Breisig, Bahnhof"
vrm-254,,7.292330725225863,50.506277532466704,"Bad Breisig, Eifelstraße"
vrm-255,,7.285105956143818,50.505621385125366,"Bad Breisig, Frankenbachstraße"
vrm-256,,7.285291326936058,50.50565111466011,"Bad Breisig, Frankenbachstraße"
vrm-257,,7.295229772340476,50.51555054874383,"Bad Breisig, Grundschule"
vrm-258,,7.273971967313006,50.49939874187044,"Bad Breisig, Gutenbergstraße"
vrm-259,,7.280882684652649,50.50459359250565,"Bad Breisig, Im Brinken"
vrm-260,,7.280943203590781,50.504606624047945,"Bad Breisig, Im Brinken"
vrm-261,,7.299132101923588,50.50930981521622,"Bad Breisig, Kirche"
vrm-262,,7.299108186855349,50.509298561236946,"Bad Breisig, Kirche"
vrm-263,,7.295164626025797,50.50699310726604,"Bad Breisig, Marienstraße"
vrm-264,,7.297704354302669,50.50746758858924,"Bad Breisig, Römer-Thermen"
vrm-265,,7.288469920875498,50.50449639005215,"Bad Breisig, Schönblick"
vrm-266,,7.288420834279515,50.50451896039555,"Bad Breisig, Schönblick"
vrm-267,,7.268467590219895,50.50408162667749,"Bad Breisig, Sportplatz"
vrm-268,,7.268467414897331,50.50407991220379,"Bad Breisig, Sportplatz"
vrm-269,,7.282831309943862,50.504652484333334,"Bad Breisig, St. Viktorstr."
vrm-270,,7.282831309943862,50.504652484333334,"Bad Breisig, St. Viktorstr."
vrm-271,,7.294299645121985,50.51027243651319,"Bad Breisig, Vogelsang"
vrm-272,,7.29429182450018,50.51027138391812,"Bad Breisig, Vogelsang"
vrm-273,,7.278466250983992,50.50154368913745,"Bad Breisig, Wallersstraße"
vrm-274,,7.278445108152978,50.50155669585706,"Bad Breisig, Wallersstraße"
vrm-275,,7.311112068025127,50.49940595246511,"Bad Breisig, Alte B9"
vrm-276,,7.311096643710676,50.49941783153624,"Bad Breisig, Alte B9"
vrm-277,,7.30883846688113,50.49618296320991,"Bad Breisig, Birkenweg"
vrm-278,,7.308843178012411,50.49618323661539,"Bad Breisig, Birkenweg"
vrm-279,,7.3321786405472515,50.48148485674691,"Brohl-Lützing, Bahnhof"
vrm-280,,7.332449053472024,50.48130598700304,"Brohl-Lützing, Bahnhof"
vrm-281,,7.299429209865791,50.45952118447243,"Brohl-Lützing, Bahnhof Bad Tönisstein"
vrm-282,,7.327459234986523,50.487692088066474,"Brohl-Lützing, Bahnhof Rheinanlagen"
vrm-283,,7.309500639918216,50.467097052165485,"Brohl-Lützing, Bahnhof Schweppenburg-Heilbrunnen"
vrm-284,,7.332297709744195,50.4808001527411,"Brohl-Lützing, Brohltalbahnhof"
vrm-285,,7.297179920027221,50.458059449033705,"Brohl-Lützing, Jägerheim"
vrm-286,,7.297156702024025,50.458066881951325,"Brohl-Lützing, Jägerheim"
vrm-287,,7.309219503722746,50.467172233427036,"Brohl-Lützing, Schweppenburg"
vrm-288,,7.309173495498321,50.467182239496914,"Brohl-Lützing, Schweppenburg"
vrm-289,,7.328165133850667,50.48639413743564,"Brohl-Lützing, Turnhalle"
vrm-290,,7.328125859156783,50.48637954567888,"Brohl-Lützing, Turnhalle"
vrm-291,,7.297528254365445,50.47097278949915,"Brohl-Lützing, Fritz-Beck-Straße"
